Time,k=0.01,k=0.1,k=1,k=10,k=20,k=30,k=5
35.53,59.96480186244316,7.538367247840365,4.868495678193226,1.3838285575861042,0.7801376114600287,0.5455786728817835,2.318907865818194
35.54,59.93690830426446,7.432213244754857,4.808737628811351,1.3974228243729458,0.790735401778892,0.5537875551631327,2.3260715515192274
35.550000000000004,59.90891293828425,7.324517965285546,4.750420667218078,1.411797327435947,0.8018707073624987,0.5621475263770107,2.334699469539134
35.56,59.88082916144522,7.215307988615878,4.693724036767274,1.4269250477887645,0.8136005525555211,0.5703260963274203,2.3447887975044868
35.57,59.8526708336493,7.104612130737617,4.6388329077540575,1.4427784187529251,0.8257191980644111,0.5782935227864445,2.356332443400364
35.58,59.82445226495035,6.9924615852819345,4.585937337154172,1.4593256424807717,0.8377479284935987,0.5862384487135422,2.369319175509415
35.59,59.79618820200272,6.8788900826685095,4.535230881790782,1.4765222630519033,0.8494609828437818,0.5942725673164204,2.383733779074475
35.6,59.767893813763074,6.76393407001838,4.486908807027646,1.494286557382605,0.8611012174586719,0.6024074277091753,2.39955723909269
35.61,59.739584676442945,6.647632914647158,4.441165839126669,1.5124004989844229,0.8728584751391105,0.610634228748163,2.416766951170283
35.62,59.71127675770844,6.530029134381498,4.398193427815386,1.5302028943065242,0.8847847807024087,0.6189245272937831,2.4353369680377286
35.63,59.68298640011513,6.411168658428892,4.358176521779529,1.5481999939234812,0.896866437945545,0.6272561803249711,2.455238300298357
35.64,59.654730303788625,6.291101123083081,4.321289917451975,1.568589088344475,0.9090707690989246,0.6356027028121971,2.476439308256073
35.65,59.62652550833127,6.1698802071689505,4.287694319251985,1.589961670327408,0.9213631469386654,0.643950095192679,2.4989062465333065
35.660000000000004,59.59838937395292,6.0475640128236,4.257532337170714,1.6116740085161392,0.9337135384701534,0.6522995973938716,2.522604045030098
35.67,59.57033956181845,5.924215497974727,4.2309247247397215,1.633680166798862,0.94610050740514,0.6607327333274462,2.547497398843018
35.68,59.54239401360279,5.799902967710077,4.207967199623476,1.6559753793275067,0.9585212084423336,0.6695402366751749,2.573552136008802
35.69,59.51457093024549,5.674700632624757,4.188728166292,1.6785401517525478,0.9710300635863732,0.6789277739717724,2.600736565564215
35.7,59.48688874989504,5.548689243173507,4.173247567804915,1.7013478126245718,0.9838308312809892,0.6883508928404833,2.6290221087753753
35.71,59.45936612503311,5.421956810022692,4.161536948727062,1.7243721650588286,0.9971766397139998,0.6975098362975678,2.658382298856264
35.72,59.43202189876901,5.294599421365889,4.1535806515873315,1.747592477979704,1.010761625787992,0.7063522742700481,2.688789762335257
35.730000000000004,59.40487508029453,5.166722169107438,4.149337938279551,1.7709974743716326,1.0241619407890126,0.7149637392742835,2.7202121856712833
35.74,59.3779448194891,5.038440196701499,4.14874575513269,1.7945914210037766,1.0372962983975225,0.7233920095968401,2.752609435949746
35.75,59.351250380666826,4.909879882244256,4.151721852026045,1.8184026783374172,1.050177034734382,0.7316705609295231,2.785933517203544
35.76,59.32481111545721,4.781180171170871,4.158168006827902,1.8424771164446756,1.0628410279984857,0.7398202975500716,2.820131118353559
35.77,59.29864643481346,4.652494073686043,4.167973171880238,1.8668220976725147,1.0753179636821597,0.7478515302200697,2.8551469165974033
35.78,59.27277578014392,4.5239903430434705,4.181016426660144,1.8913414249933,1.0876249154855997,0.7557706704344488,2.890925736862279
35.79,59.2472185935649,4.395855352323371,4.197169676163512,1.9158843514390929,1.0997697950120306,0.7635776667174341,2.9274128771757475
35.800000000000004,59.221994287277,4.268295189972799,4.216300073168262,1.940341650044792,1.111754791686655,0.7712720449435213,2.9645534199527033
35.81,59.19712221207015,4.141537998792042,4.238272165761644,1.9646582045797227,1.1235786017497562,0.7788496053456249,3.002292046473308
35.82,59.17262162496798,4.015836590062143,4.262949783484528,1.988806645341524,1.1352377018882982,0.7863069004702451,3.0405740551366973
35.83,59.14851165602791,3.8914713746253753,4.290197680462001,2.012770726925618,1.1467270948227948,0.7936382895835887,3.079346640094362
35.84,59.12481127431951,3.768753665466965,4.3198829552368885,2.036538159685779,1.1580407787715377,0.8008391550431272,3.118558860210295
35.85,59.101539253111085,3.6480294189687665,4.351876266721612,2.0600973513544547,1.1691720723037669,0.8079035738642137,3.158159936078348
35.86,59.0787141343034,3.5296834876884065,4.386052864732805,2.083436026472835,1.1801138558373436,0.8148266034907439,3.1980971346724494
35.87,59.056354192157904,3.414144443090043,4.4222934523196775,2.106540838739653,1.1908587568160416,0.8216025236365423,3.238314784407218
35.88,59.034477396378065,3.3018899706432907,4.460484895554364,2.1293974400865916,1.2013992901912902,0.8282264440089366,3.2787549452272873
35.89,59.01310137461236,3.19345271219022,4.500520794513685,2.1519907119431463,1.2117279614286989,0.8346930104718014,3.3193591701754386
35.9,58.99224337446064,3.089426197311779,4.542301926741716,2.1743050236992225,1.2218373396436066,0.8409975360971494,3.3600704113570368
35.910000000000004,58.971920225077035,2.990470140473375,4.585736571493725,2.1963244660462475,1.2317201090219183,0.8471350695471155,3.4008343742558065
35.92,58.95214829847635,2.8973138899096216,4.630740719563162,2.218033043035522,1.2413691055250398,0.8531011929247005,3.4416001029442502
35.93,58.932943470664775,2.810756272343649,4.677238169623317,2.2394148211456573,1.2507773436633465,0.8588913581347088,3.4823199460108856
35.94,58.91432108272841,2.7316596695267608,4.725160508032252,2.2604540396440136,1.2599380361563344,0.864501448699537,3.522949184202431
35.95,58.89629590202815,2.660936199357916,4.774446965353677,2.2811351892891363,1.2688446081601623,0.8699273085640031,3.563445556713361
35.96,58.878882083661864,2.5995247298500335,4.825044139999495,2.3014430672473987,1.2774907072536716,0.8751651371186884,3.603768821582357
35.97,58.86209313236832,2.5483593603790484,4.876905578131843,2.3213628153084684,1.2858702101569035,0.8802111550782434,3.6438804019872992
35.980000000000004,58.84594186505896,2.508332706560975,4.929991200136842,2.340879946747206,1.2939772269929344,0.885061882395519,3.683743123247513
35.99,58.83044037417453,2.4802597520659004,4.984266568494134,2.359980365382824,1.3018061037429471,0.8897139012762095,3.7233210262361145
36.0,58.81559999207222,2.4648483290411813,5.0397020004530635,2.378650379081199,1.3093514233970132,0.8941640521066816,3.7625792387507055
36.01,58.80143125665733,2.4626786333509165,5.096271541880815,2.396876709183448,1.3166080061807788,0.8984092650052902,3.8014838883907385
36.02,58.78794387847681,2.4741865455113317,5.15395183547939,2.414646496922531,1.3235709091420782,0.9024466984191164,3.840002044155834
36.03,58.77514670949631,2.4996378178678764,5.212720935705267,2.4319473076238864,1.330235425307767,0.9062736189101102,3.8781016774632353
36.04,58.76304771378031,2.5390805623668364,5.272557141412502,2.448767133287682,1.3365970825649287,0.9098874996698894,3.915751636039557
36.05,58.75165394029295,2.59227913887037,5.333437931794899,2.4650943939941894,1.3426516423781272,0.9132859342243428,3.952921626162443
36.06,58.7409714980293,2.65865841075166,5.395339097711363,2.480917938454575,1.34839509842224,0.9164667069019706,3.9895822001639543
36.07,58.73100553367807,2.7373006428448203,5.458234155841721,2.496227043942127,1.353823675186372,0.919427730404116,4.025704747119097
36.08,58.72176021200241,2.827016928570762,5.5220941161341095,2.5110114157764674,1.3589338265861453,0.9221670966063316,4.061261485352683
36.09,58.71323869910986,2.92647244051277,5.586887645040353,2.525261186488854,1.363722234608275,0.9246830309530552,4.0962254558914655
36.1,58.70544314876216,3.034317987669461,5.65258163193848,2.538966914764588,1.3681858080013756,0.9269739294182102,4.130570516326578
36.11,58.69837469185378,3.1492887638438316,5.719142129295335,2.552119584235132,1.3723216810197252,0.929038324799174,4.164271334777627
36.12,58.692033429162045,3.27025784833246,5.786535603979093,2.5647106021749875,1.3761272122217236,0.9308749138875922,4.197303383798116
36.13,58.68641842744567,3.396252470654514,5.854730411794117,2.576731798144959,1.3795999833213677,0.932482532220084,4.229642934156477
36.14,58.68152771893816,3.5264475367302732,5.923698391667074,2.588175422613044,1.382737798089143,0.9338601742817088,4.261267048485896
36.15,58.677358304253616,3.6601486255558098,5.993416469538557,2.5990341455758346,1.3855386812978108,0.9350069743092522,4.2921535748305155
36.16,58.673906158690855,3.796772060099232,6.063868162596526,2.609301055196814,1.388000877708594,0.9359222215036944,4.322281140134209
36.17,58.67116624189124,3.9358258867634057,6.135044878293117,2.618969656472574,1.3901228510940304,0.9366053452100492,4.351629143725891
36.18,58.669132510775256,4.076893285031452,6.206946904521369,2.6280338699338133,1.3919032832950404,0.9370559265348256,4.380177750856432
36.19,58.66779793565367,4.219618737049076,6.279583980725923,2.636488030384749,1.3933410733115277,0.9372736867377376,4.407907886339219
36.2,58.66715451938175,4.363696762927956,6.352975317190072,2.644326885682079,1.3944353364278297,0.9372584962524108,4.434801228340749
36.21,58.66719331939923,4.508862847923928,6.427148887912784,2.651545595553116,1.3951854033765243,0.9370103654842185,4.46084020236108
36.22,58.66790447247672,4.654886165891641,6.502139773677339,2.658139730451652,1.3955908195462738,0.9365294519583384,4.486007975436736
36.23,58.6692772219685,4.801563744134442,6.577987320355904,2.664105270449933,1.3956513442414031,0.9358160529684076,4.510288450591616
36.24,58.67129994735613,4.948715773346758,6.654730982957535,2.669438604165383,1.3953669500027237,0.934870611383806,4.5336662615548065
36.25,58.67396019585348,5.09618182391416,6.732405020324394,2.674136527721622,1.3947378220006053,0.9336937097645522,4.5561267677581165
36.26,58.67724471583467,5.243817779666421,6.811032644737764,2.67819624374459,1.3937643575122558,0.9322860752091138,4.577656049620661
36.27,58.68113949184011,5.391493340878717,6.8906205598959325,2.6816153603963193,1.392447165495245,0.9306485745922698,4.598240904123186
36.28,58.68562978091378,5.53908998059418,6.971154681880615,2.684391890450768,1.3907870662644384,0.9287822184464894,4.617868840670765
36.29,58.69070015002535,5.686499263559019,7.052597162311459,2.6865242504183113,1.3887850912485349,0.9266881565098644,4.636528077239203
36.3,58.69633451433487,5.8336214566252895,7.134884159482823,2.688011259727527,1.3864424826880593,0.92436768083521,4.654207536797764
36.31,58.70251617606489,5.980364374620507,7.217923933829767,2.6888521399750163,1.3837606929710782,0.921822224658102,4.670896843998893
36.32,58.709227863753625,6.126642417412783,7.301595903699304,2.6890465142557813,1.3807413836943845,0.9190533707790262,4.686586322124025
36.33,58.71645177167524,6.272375763007731,7.385752267648887,2.6885944065882157,1.377386426374368,0.916062852422659,4.701266990273741
36.34,58.72416959922573,6.417489688610094,7.470223430954349,2.687496241447951,1.373697907710859,0.9128525510537814,4.714930560790015
36.35,58.732362590088854,6.561913997136107,7.554826775761697,2.6857528434166795,1.3696781367858113,0.9094244859126472,4.727569436898421
36.36,58.74101157101142,6.705582531028567,7.639376681964824,2.683365436901447,1.365329644539162,0.905780815312434,4.739176710558488
36.37,58.750096990034955,6.848432758675249,7.723693387475071,2.680335645701321,1.360655173424647,0.9019238417020496,4.749746160511341
36.38,58.75959895404678,6.990405421469496,7.807609198803492,2.6766654919441,1.3556576703992924,0.8978560198869785,4.759272250514706
36.39,58.76949726553179,7.131444231736366,7.890971795523681,2.6723573944508967,1.350340292571532,0.8935799574003899,4.76775012775698
36.4,58.77977145842187,7.27149561349964,7.973645186421743,2.6674141692312108,1.3447064174495675,0.889098416157151,4.775175621443473
36.41,58.79040083295782,7.410508479476291,8.055509132804367,2.6618390367912683,1.3387596477478778,0.8844143113770149,4.781545241549824
36.42,58.801364489493075,7.548434038828181,8.13645775919918,2.6556356341363734,1.33250381161298,0.8795307141222567,4.7868561777393825
36.43,58.8126413611844,7.68522563113093,8.216397854821265,2.6488080176095754,1.325942962871333,0.8744508517359968,4.791106298443362
36.44,58.824210245528704,7.820838582780165,8.295247164298448,2.641360648825576,1.3190813826422054,0.8691781109799894,4.794294150104303
36.45,58.83604983471748,7.955230082680644,8.372932818308204,2.6332983793113245,1.311923581679857,0.8637160390595451,4.7964189565852715
36.46,58.84813874479317,8.088359074579925,8.449389963351399,2.624626452846822,1.304474302974539,0.858068346875976,4.79748061874789
36.47,58.860455543601624,8.220186163837358,8.5245605997228,2.615350521044149,1.2967385245301406,0.8522389104596045,4.797479714196713
36.48,58.87297877754482,8.35067353677786,8.59839261253969,2.6054766552789186,1.288721462336086,0.8462317743610799,4.796417497148807
36.49,58.88568699714627,8.479784891082184,8.670838971253643,2.5950113495433835,1.2804285735471586,0.8400511535189159,4.794295898240413
36.5,58.89855878144883,8.607485375922664,8.741857071306038,2.583961519955703,1.2718655598798678,0.8337014368607998,4.7911175237814865
36.51,58.91157276127045,8.733741540774565,8.811408193397348,2.5723345057373233,1.2630383712355409,0.8271871896406106,4.786885653966539
36.52,58.92470764134912,8.85852129202744,8.879457059016563,2.5601380721579567,1.2539532095629902,0.8205131573171932,4.781604241219248
36.53,58.93794222141192,8.981793856694239,8.945971464315672,2.5473804144869066,1.2446165329752896,0.8136842683977114,4.775277913348103
36.54,58.95125541620633,9.103529752676236,9.010921977612892,2.5340701623645057,1.2350350601365674,0.8067056386594177,4.767911985986108
36.55,58.96462627453485,9.223700765195623,9.074281688580744,2.520216384450783,1.225215774935174,0.7995825745376245,4.759512478342095
36.56,58.97803399733521,9.342279929162046,9.136025999487048,2.505828593363279,1.2151659314600385,0.7923205777524296,4.750086115434419
36.57,58.991457954849544,9.459241517404012,9.196132450742892,2.4909167509377963,1.2048930592968616,0.7849253492775563,4.739640310054794
36.58,59.00487770292655,9.574561034881098,9.254580574530358,2.47549127384072,1.1944049691604075,0.7774027944264621,4.7281831422415745
36.59,59.01827299850035,9.688215219214008,9.31135177149744,2.459563039556495,1.1837097588782286,0.7697590274309972,4.715723357953097
36.6,59.03162381428923,9.800182048147322,9.366429206475328,2.443143392771564,1.1728158197398877,0.7620003770281657,4.702270385837006
36.61,59.04491035275668,9.910440754925585,9.419797719943904,2.426244152175051,1.161731843223801,0.7541333916632086,4.687834354829551
36.62,59.05811305937565,10.018971853065413,9.471443752585255,2.4088776176960045,1.150466828111323,0.7461648455973624,4.672426102416157
36.63,59.07121263523553,10.125757172720862,9.521355280755005,2.3910565781966935,1.1390300879944617,0.7381017447263177,4.656057176225194
36.64,59.08419004902965,10.23077991189405,9.569521761093586,2.3727943196406303,1.1274312591795344,0.7299513331977926,4.638739834824838
36.65,59.09702654845911,10.334024707357106,9.615934082814409,2.354104633752952,1.115680308983966,0.7217210998000673,4.62048705027157
36.66,59.10970367108674,10.435477732721436,9.660584526459663,2.335001827188961,1.1037875444173035,0.713418785032353,4.601312512252456
36.67,59.12220325467256,10.535126835366386,9.7034667281196,2.3155007312241422,1.0917636212299184,0.7050523879650193,4.581230633130699
36.68,59.13450744702048,10.63296173141882,9.744575648277776,2.2956167119756468,1.0796195533039397,0.6966301736406465,4.560256553508732
36.69,59.14659871536315,10.728974291832731,9.78390754458047,2.275365681160836,1.067366722350158,0.6881606802323101,4.5384061481849205
36.7,59.15845985530987,10.823158980040477,9.821459947939514,2.254764107392951,1.0550168878618833,0.6796527265630066,4.515696032480296
36.71,59.17007399938034,10.915513560169408,9.857231641468983,2.2338290280071615,1.0425821972618217,0.6711154192842943,4.492143568936032
36.72,59.18142462514447,11.0060403310212,9.891222641831313,2.2125780614017505,1.0300751961604198,0.662558160179551,4.467766874385146
36.73,59.19249556298757,11.094748491344236,9.923434182630556,2.191029419869211,1.017508838623871,0.6539906529453858,4.44258482740005
36.74,59.20327100351287,11.181659253891905,9.953868699542006,2.169201922879687,1.0048964973263583,0.6454229097824083,4.41661707611477
36.75,59.213735504605715,11.266818663347165,9.982529816910391,2.147115010764984,0.9922519734342647,0.6368652571787875,4.389884046417101
