Time,Position X,Position Y,Position Z
10.15,11.411317399815825,16.924634066960106,-36.29481831224303
10.16,11.54642484025413,16.948712199974594,-36.40281673496678
10.17,11.683021486907235,16.96881592273586,-36.5098223467774
10.18,11.82109394719186,16.984937226688718,-36.61582400253224
10.19,11.960628680459996,16.997069696544415,-36.72081065833609
10.200000000000001,12.101611999360154,17.00520851284993,-36.82477137264335
10.21,12.24403007121298,17.00935045391872,-36.92769530735013
10.22,12.38786891940105,17.00949389712216,-37.02957172887621
10.23,12.533114424772744,17.00563881954115,-37.13039000923668
10.24,12.679752327060033,16.997786797977692,-37.2301396271031
10.25,12.82776822631006,16.985941008326336,-37.32881016885431
10.26,12.977147584330348,16.970106224305827,-37.42639132961644
10.27,13.12787572614752,16.950288815551477,-37.5228729142923
10.28,13.279937841479358,16.926496745068956,-37.618244838579855
10.290000000000001,13.433318986220081,16.898739566050573,-37.71249712997982
10.3,13.588004083938701,16.867028418055348,-37.80561992879215
10.31,13.743977927390267,16.831376022554355,-37.89760348910133
10.32,13.901225180039923,16.791796677843166,-37.98843817975055
10.33,14.059730377599568,16.748306253323403,-38.078114485304354
10.34,14.219477929577012,16.700922183155722,-38.16662300699989
10.35,14.380452120837457,16.649663459286757,-38.25395446368661
10.36,14.542637113177173,16.594550623852818,-38.34009969275428
10.370000000000001,14.706016946909205,16.535605760963396,-38.4250496510492
10.38,14.870575542460967,16.472852487867765,-38.50879541577862
10.39,15.036296701983582,16.406315945508222,-38.59132818540315
10.4,15.203164110972804,16.336022788463744,-38.672639280517124
10.41,15.371161339901366,16.262001174288088,-38.752720144716825
10.42,15.540271845862641,16.184280752246647,-38.83156234545646
10.43,15.710478974225397,16.102892651456504,-38.90915757489179
10.44,15.881765960299568,16.0178694684345,-38.98549765071137
10.450000000000001,16.054115931012813,15.92924525405826,-39.06057451695522
10.46,16.227511906597787,15.837055499945437,-39.134380244820946
10.47,16.401936802289896,15.741337124256603,-39.20690703345711
10.48,16.577373430035433,15.642128456927482,-39.27814721074387
10.49,16.753804500209903,15.539469224336445,-39.348093234060734
10.5,16.931212623346415,15.433400533413403,-39.41673769104137
10.51,17.109580311873955,15.323964855196474,-39.484073300315345
10.52,17.2888899818654,15.211206007842987,-39.55009291223681
10.53,17.469123954795094,15.09516913910166,-39.61478950959995
10.540000000000001,17.650264459305863,14.975900708252937,-39.67815620834116
10.55,17.832293632985262,14.853448467524743,-39.74018625822785
10.56,18.015193524150938,14.727861442991092,-39.8008730435339
10.57,18.198946093644917,14.59918991496119,-39.86021008370147
10.58,18.38353321663666,14.467485397866897,-39.91819103398935
10.59,18.568936684434746,14.33280061965659,-39.97480968610761
10.6,18.755138206306974,14.195189500703698,-40.030059968838486
10.61,18.942119411308767,14.054707132238327,-40.08393594864353
10.620000000000001,19.12986185011968,13.911409754310633,-40.13643183025685
10.63,19.318346996887858,13.76535473329475,-40.18754195726448
10.64,19.507556251082264,13.616600538942306,-40.237260812669625
10.65,19.697470939352538,13.465206720994669,-40.28558301944399
10.66,19.88807231739627,13.311233885363327,-40.33250334106491
10.67,20.079341571833556,13.154743669887923,-40.37801668203826
10.68,20.271259822088656,12.99579871968163,-40.42211808840722
10.69,20.463808122278547,12.834462662073777,-40.46480274824664
10.700000000000001,20.656967463108256,12.670800081159701,-40.506065992143114
10.71,20.850718773772726,12.504876491968053,-40.54590329366063
10.72,21.045042923865104,12.336758314255892,-40.5843102697917
10.73,21.239920725291213,12.166512845942014,-40.62128268139409
10.74,21.435332934190086,11.994208236189207,-40.65681643361289
10.75,21.631260252860315,11.819913458146145,-40.690907576288005
10.76,21.82768333169207,11.643698281359875,-40.72355230434706
10.77,22.02458277110462,11.465633243869895,-40.75474695818352
10.78,22.221939123489097,11.28578962399502,-40.78448802402013
10.790000000000001,22.419732895156407,11.104239411824297,-40.81277213425761
10.8,22.617944548290026,10.921055280423381,-40.83959606780847
10.81,22.816554502903504,10.736310556767902,-40.864956750416084
10.82,23.015543138802506,10.550079192415431,-40.888851254958816
10.83,23.214890797551192,10.362435733927775,-40.911276801739284
10.84,23.41457778444269,10.173455293055447,-40.932230758758706
10.85,23.614584370473533,9.983213516696226,-40.95171064197628
10.86,23.814890794321794,9.791786556639797,-40.96971411555358
10.870000000000001,24.015477264328787,9.599251039110612,-40.986238992084026
10.88,24.216323960484058,9.405684034121112,-41.00128323280724
10.89,24.417411036413505,9.21116302464759,-41.01484494780845
10.9,24.6187186213704,9.015765875640993,-41.02692239620282
10.91,24.820226822229145,8.819570802885073,-41.037513986304766
10.92,25.021915725481463,8.62265634171433,-41.04661827578212
10.93,25.223765399234946,8.425101315604255,-41.05423397179535
10.94,25.425755895213594,8.226984804646406,-41.060359931121525
10.950000000000001,25.627867250760268,8.028386113920956,-41.064995160263415
10.96,25.830079490840767,7.829384741779327,-41.06813881554332
10.97,26.032372630049323,7.6300603480496,-41.06979020318188
10.98,26.234726674615313,7.430492722177397,-41.069948779361845
